Unnamed: 0,번호,제목,저자,출판사,출판일
,58,Analysis of Bodily Fluids and Fomites in Transmission of Ebola Virus Using Bigdata,"Jemimah, C.","Elsevier Science B.V., Amsterdam",2016
,59,"Case-fatality, disability and recurrence rates after first-ever stroke: A study from bigdata observatory platform for stroke of China","Tu, Wen-Jun; Chao, Bao-Hua; Ma, Lin; Yan, Feng; Cao, Lei; Qiu, Hancheng; Ji, Xun-Ming; Wang, Long-De","Elsevier Science B.V., Amsterdam.",2021
,60,Personalized Recommendation System for Efficient Integrated Cognitive Rehabilitation Training Based on Bigdata,"Kim, Jeong Joon; Kim, Yong-Jun; Lee, Hyeok-Min; Lee, Sang-Ho; Chung, Sung-Taek",Springer,2018
,61,Using arced axes in parallel coordinates geometry for high dimensional BigData visual analytics in cloud computing,"Huang, M. L.; Lu, L. F.; Zhang, X.",Springer Science + Business Media,2015
,62,Analysis of Learner Timeout Behavior in Online Tests of a Bigdata Set Based on the OLAI Concept,"Le,  Huixiao; Jia,  Jiyou",Springer,2018
,63,A fast online learning algorithm for distributed mining of BigData,"Zhang, Yu;Sow, Daby;Turaga, DeepakSchaar, Mihaela van der",Association for Computing Machinery,2014
,64,A service model for nutrition supplement prediction based on Fuzzy Bayes model using bigdata in livestock,S. Sivamani; J. Choi; Y. Cho,Annals of operations research,2018
,65,Treatment and 1-Year Prognosis of Ischemic Stroke in China in 2018: A Hospital-Based Study From Bigdata Observatory Platform for Stroke of China,"Tu, Wen-Jun",American Heart Association; Lippincott Williams and Wilkins,2022
,66,A scalable platform for investigating the space-specific features of the temporal energy usage pattern and saving potential with real-time bigdata,"Lee, Junsoo; Kim, Tae Wan; Lee, Chansik; Koo, Choongwan","Elsevier Science B.V., Amsterdam.",2021
,67,Truncated Physical Model for Dynamic Sensor Networks with Applications in High-Resolution Mobile Sensing and BIGDATA,"Matarazzo,  Thomas J.; Pakzad,  Shamim N.",ASCE AMERICAN SOCIETY OF CIVIL ENGINEERS,2016
,68,A Prototypical Reference Application of an IVIS4BigData Infrastructure supporting Anomaly Detection on Car-to-Cloud Data,"Bornschlegl, Marco",Curran Associates,2018
,69,Ballistic Transport for Periodic Jacobi Operators on Z^d (The Case Study for Childcare Service Demand Forecasting Using Bigdata Reference Analysis Model),"Fillman, Jake",Birkhauser,2021
,70,Relaxation of Nitric Oxide in Mixtures with Argon (A Study on the Changes of the Restaurant Industry Before and Afhter COVID-19 Using BigData),"Kneser,H. O.; Bauer,H.?J.; Kosche,H.",Acoustical Society of America,1967
,71,"Catching the Disc: Panopticism, Surveillance and Punishment as a Pedagogical Tool in the Acquisition of Colonial Languages in Post-Colonial Schooling (Spatial Visualization of Food Safety Risk Using Environmental Big Data)","Rotich, Willy K.",Taylor & Francis,2021
